Date,Product_ID,Product_Name,Category,Region,BOM_Usage_Frequency,Quantity_Sold,Liters_Sold,Revenue,Cost,Customer_ID,Customer_Name,Order_ID,Order_Date,Delivery_Date,Monthly_Production_Liters,Seasonal_Sales_Spike,Price_Change
2023-01-01,0004002250,AQUAFILL WALLFILLER FINE NEW,Wall Filler,West,4,37,40.980481723584404,2508.3558118993487,1645.5764985585183,CUST105,Customer_5,ORD5238,2023-01-01,2023-01-08,518,0,0.0
2023-01-01,7000002250,S TEXTURED MP WHITE,Paint,North,17,17,24.663603330421424,1654.306538646824,1280.5334987483955,CUST106,Customer_6,ORD8630,2023-01-01,2023-01-03,3510,0,0.0
2023-01-01,7000002150,S ACRYLIC PRI SEALER WHITE,Primer,North,3,42,79.77583977526139,4934.967355741759,2630.65524422981,CUST100,Customer_0,ORD9509,2023-01-01,2023-01-10,1804,0,0.0
2023-01-01,9989092196,S'DUR FIN HG LK SET BAS L,Lacquer,East,18,38,75.45482053363541,5790.44910703751,2975.29310496924,CUST106,Customer_6,ORD6429,2023-01-01,2023-01-04,662,0,0.0
2023-01-01,9192002200,THINNER 91-92,Thinner,East,3,35,30.692029769054383,3345.1168955219487,2555.738187041051,CUST101,Customer_1,ORD3111,2023-01-01,2023-01-06,4700,0,0.0
2023-01-01,2106002200,THINNER 21-06,Thinner,West,15,27,43.79646752923516,5277.942024030698,2820.349765245077,CUST106,Customer_6,ORD8941,2023-01-01,2023-01-10,1209,0,0.0
2023-01-02,0004002250,AQUAFILL WALLFILLER FINE NEW,Wall Filler,East,15,30,16.41302956635981,1505.6079244007265,968.1708114381915,CUST107,Customer_7,ORD8302,2023-01-02,2023-01-08,1643,0,0.0
2023-01-02,7000002250,S TEXTURED MP WHITE,Paint,East,18,16,24.690833129325046,2635.369285042337,2080.176885576007,CUST102,Customer_2,ORD7373,2023-01-02,2023-01-12,3833,0,0.0
2023-01-02,7000002150,S ACRYLIC PRI SEALER WHITE,Primer,South,18,3,1.9988147229384818,417.2910387340081,215.0113972183614,CUST106,Customer_6,ORD6383,2023-01-02,2023-01-04,2046,1,0.0
2023-01-02,9989092196,S'DUR FIN HG LK SET BAS L,Lacquer,East,14,38,26.436841104898818,4051.140042857999,3491.545205414094,CUST103,Customer_3,ORD2219,2023-01-02,2023-01-08,3815,0,0.0
2023-01-02,9192002200,THINNER 91-92,Thinner,North,6,47,59.72297683661309,4023.7381403102468,2397.88733784399,CUST100,Customer_0,ORD1619,2023-01-02,2023-01-04,826,0,2.93
2023-01-02,2106002200,THINNER 21-06,Thinner,West,2,1,0.5080651035789826,150.60537900296225,96.39798167152703,CUST109,Customer_9,ORD5149,2023-01-02,2023-01-04,4502,0,0.0
2023-01-03,0004002250,AQUAFILL WALLFILLER FINE NEW,Wall Filler,South,8,38,34.89877018238477,3157.5775153722443,1590.4833341048748,CUST108,Customer_8,ORD8679,2023-01-03,2023-01-13,4484,0,0.0
2023-01-03,7000002250,S TEXTURED MP WHITE,Paint,West,7,32,24.015089200403153,5232.3171884293615,3573.186133946652,CUST100,Customer_0,ORD5537,2023-01-03,2023-01-11,4024,0,0.0
2023-01-03,7000002150,S ACRYLIC PRI SEALER WHITE,Primer,South,11,40,72.66146350178954,1389.722254576977,1243.3846852737306,CUST104,Customer_4,ORD6745,2023-01-03,2023-01-08,3824,0,0.0
2023-01-03,9989092196,S'DUR FIN HG LK SET BAS L,Lacquer,North,18,6,3.53072808102926,816.1689611905673,507.2230756232853,CUST103,Customer_3,ORD3255,2023-01-03,2023-01-06,3459,1,0.0
2023-01-03,9192002200,THINNER 91-92,Thinner,North,15,47,88.87429272100424,5202.679954422601,4461.060945796681,CUST100,Customer_0,ORD1314,2023-01-03,2023-01-05,552,1,0.0
2023-01-03,2106002200,THINNER 21-06,Thinner,South,1,40,70.50632134794523,6856.527129496219,3496.3665603856894,CUST100,Customer_0,ORD8908,2023-01-03,2023-01-13,2247,0,0.0
2023-01-04,0004002250,AQUAFILL WALLFILLER FINE NEW,Wall Filler,West,12,17,28.570988217182144,466.58748474042415,252.34814003913618,CUST106,Customer_6,ORD2280,2023-01-04,2023-01-14,1775,1,0.0
2023-01-04,7000002250,S TEXTURED MP WHITE,Paint,North,13,39,28.11928235155261,1466.3113363214438,752.8063913089583,CUST106,Customer_6,ORD5263,2023-01-04,2023-01-09,3549,0,0.0
2023-01-04,7000002150,S ACRYLIC PRI SEALER WHITE,Primer,North,0,8,10.70072494548364,427.2817224445034,271.00181908202165,CUST100,Customer_0,ORD1872,2023-01-04,2023-01-10,267,0,0.0
2023-01-04,9989092196,S'DUR FIN HG LK SET BAS L,Lacquer,West,4,4,3.5477264188999706,663.0269300230817,381.37806963516823,CUST108,Customer_8,ORD6682,2023-01-04,2023-01-14,4832,0,0.0
2023-01-04,9192002200,THINNER 91-92,Thinner,North,11,49,24.50805996476632,9140.344632718767,4652.524725318469,CUST100,Customer_0,ORD6175,2023-01-04,2023-01-10,4393,0,0.0
2023-01-04,2106002200,THINNER 21-06,Thinner,West,0,27,45.42541455127851,1483.4493752967232,770.5192379418204,CUST101,Customer_1,ORD9937,2023-01-04,2023-01-11,3238,0,1.39
2023-01-05,0004002250,AQUAFILL WALLFILLER FINE NEW,Wall Filler,East,7,32,40.44363621488681,4243.096821184314,2497.1382946234994,CUST106,Customer_6,ORD9082,2023-01-05,2023-01-12,1251,0,0.0
2023-01-05,7000002250,S TEXTURED MP WHITE,Paint,East,13,15,23.263059812694376,2753.8495429543714,2193.6348130876117,CUST103,Customer_3,ORD8737,2023-01-05,2023-01-14,742,0,0.0
2023-01-05,7000002150,S ACRYLIC PRI SEALER WHITE,Primer,West,1,42,41.218725971758715,6767.597400837989,4111.019708149076,CUST101,Customer_1,ORD5378,2023-01-05,2023-01-09,1446,0,0.0
2023-01-05,9989092196,S'DUR FIN HG LK SET BAS L,Lacquer,West,19,15,19.883706266824866,1460.585627527279,996.4845437438423,CUST107,Customer_7,ORD5345,2023-01-05,2023-01-13,793,0,0.0
2023-01-05,9192002200,THINNER 91-92,Thinner,South,18,10,5.39505336333999,718.3398313730555,450.9262335680565,CUST108,Customer_8,ORD3870,2023-01-05,2023-01-10,2628,0,0.52
2023-01-05,2106002200,THINNER 21-06,Thinner,South,0,42,74.89740375870605,2291.7837325365776,1352.2193222615879,CUST102,Customer_2,ORD3423,2023-01-05,2023-01-12,1915,0,0.0
2023-01-06,0004002250,AQUAFILL WALLFILLER FINE NEW,Wall Filler,West,1,9,7.631929737972874,1199.6151886513994,1036.4659282634982,CUST106,Customer_6,ORD3021,2023-01-06,2023-01-14,1981,1,0.0
2023-01-06,7000002250,S TEXTURED MP WHITE,Paint,North,1,8,13.320251922286262,1192.5893965811922,674.5979430695236,CUST103,Customer_3,ORD5248,2023-01-06,2023-01-08,4282,0,0.0
